cluster_name,total_mentions,distinct_calls,confidence,safety_nonsafety_bleed,has_deployment_blocker,evidence_source,member_labels,evidence_sample
coach against forks first forklift driving and pit pedestrian near misses using voxel clips,1,1,MEDIUM,False,False,customer,coach against forks first forklift driving and pit pedestrian near misses using voxel clips,Vale Mercer: And one of the things that we've tried pushing here lately has been people driving forks first. | Vale Mercer: Deanna knows a few months back we had an incident where a supervisor got hit by someone driving forks first. | Vale Mercer: And a video popped up on Voxel of an operator on a d
trailer detention and turnaround time tracking,1,1,MEDIUM,False,False,mixed,trailer detention and turnaround time tracking,"Eden Wilder: For us, our trailer detention time and turnaround time from the time that we get an inbound load to the time that our labor force is able to move on to the next task is kind of a critical method. | Dakota Kendrick: in terms of that trailer time and, like, that turnaround time, definitel"
working at height compliance and lifting falling object risks,1,1,MEDIUM,False,False,customer,working at height compliance and lifting falling object risks,"Brennan Walker: be careful there is man-machine interface, or people working tight without scaffolding, or no full body harness, or there is a fire, for example, that will support this guy | Brennan Walker: there are a lot of vests and hazards, falling objects, lifting, walking at height, many, many"
ergonomics monitoring at glenville dock,1,1,MEDIUM,False,False,customer,ergonomics monitoring at glenville dock,"Hayden Easton: Maybe some ergo back there for the, yeah, the Glenville dock, I believe that got adjusted."
dock and high collision area safety monitoring,1,1,MEDIUM,False,False,mixed,dock and high collision area safety monitoring,"Alex Carver: For you guys, it's been a lot of, especially if we're only going to do 20 in a larger facility, I would say it's going to be mainly your dock areas. | Shawn Finch: And, you know, Metro Site is like, you're probably better off looking at your dock and maybe your high collision potential "
operations analytics congestion and repeated task measurement,1,1,MEDIUM,False,False,mixed,operations analytics congestion and repeated task measurement,"Shiloh Dover: how frequently are operators stopped because of congestion, right? Is there a way to tally something as simple as that? How often does an operator have to repeat a task? | Hollis Sawyer: looking for us to come to the table with some ideas on some material handling best practices and op"
monthly reporting data export to support internal shift level reporting,1,1,MEDIUM,False,False,mixed,monthly reporting data export to support internal shift level reporting,"Kendall Keller: Oh, and thanks again for that report. | Taylor Carlisle: I really appreciate that. I use that in the tracking because like our, some of the other sites like. | Taylor Carlisle: So it's kind of like I have to, you know, so I have a sheet that I just plug that into and it kind of like,"
pedestrian no go zone monitoring temporarily disabled during contractor work,1,1,MEDIUM,False,False,mixed,pedestrian no go zone monitoring temporarily disabled during contractor work,Operations Conference Room 2: should we remove the pedestrian zone activity at the moment? | Shawn Abbott: So go ahead and remove them now. We can always add them back in post-December. | Operations Conference Room 2: So we'll just remove all zone instances from training camera. Historically.
respirator ppe compliance in paint areas,1,1,MEDIUM,False,False,customer,respirator ppe compliance in paint areas,"Drew Sullivan: We have some areas like what we call our paint pensions where we go in and out, where we want to start reminding folks to use the respirators when they should going in."
four pin walk around pin unlock detection with alerts,1,1,MEDIUM,False,False,mixed,four pin walk around pin unlock detection with alerts,"Cameron Locke: And it's the importance of having those pins, what would you say, pins unlocked for the successful lift up of a container. | Cameron Locke: So that's the biggest thing is the safety of the movement of these 60,000 plus pound containers throughout the port. | Cameron Locke: So it's not"
centralized safety monitoring and dispatch,1,1,MEDIUM,False,False,customer,centralized safety monitoring and dispatch,"Brennan Walker: When we are putting these cameras, these cameras will support us how we're going to put operators in the project control center or safety control centers. | Brennan Walker: Those people will support the safety officer in case they detect any unsafe conditions or behavior. | Brennan W"
ergonomic risk detection for pallet handling and overexertions,1,1,MEDIUM,False,False,customer,ergonomic risk detection for pallet handling and overexertions,"Jamie Valentine: Half of our injuries are overexertions, effectively. | Jamie Valentine: there's a proper way to pick up pallets and set them down in? | Jamie Valentine: they just take that pallet and kind of chuck it, right? | Jamie Valentine: Would you effectively record the safe way of doing it, "
use actions workflow for coaching and to measure impact on incidents,1,1,MEDIUM,False,False,mixed,use actions workflow for coaching and to measure impact on incidents,"Hollis Bishop: we have our supervisors night and morning. assign them. | Hollis Bishop: Coaching and, you know, pretty much do what we can. | Hollis Bishop: If we see any issues, it normally comes up as like a little fire emoji on it. | Kendall Keller: when you guys actually complete an action now, "
monthly safety meeting content using voxel clips,1,1,MEDIUM,False,False,mixed,monthly safety meeting content using voxel clips,"Blake Sinclair: If there, if it was possible to shoot us some, like you did last time, we had a PowerPoint presentation with a couple examples kind of built into it, just something very brief, you know, four or several instances, but just things, you know, a couple that call out of good, like kudos "
track and find completed in progress actions across wilmington,1,1,MEDIUM,False,False,customer,track and find completed in progress actions across wilmington,"Taylor Carlisle: So, up until recently, we could actually search for resolves. | Taylor Carlisle: So is there still a way to do that or? | Taylor Carlisle: But my question is, how do I find these ones that I've, you know what I mean? | Taylor Carlisle: I usually am looking at, like, the overall, lik"
monitor no pedestrian zones and hotspots,1,1,MEDIUM,False,False,mixed,monitor no pedestrian zones and hotspots,"Eden Quill: I mean, the thing that stands out is that, you know, the no-ped zone. | Eden Quill: Y'all have, in the last about a month, a little over 41,000. | Kit Peyton: Yeah, and we know our big areas is between our assembly cells and then over in tempering. | Kit Peyton: So, yeah, it is capturing"
near miss risk identification,1,1,MEDIUM,False,False,customer,near miss risk identification,"Palmer York: priority one is identifying ergonomic risk, near miss risk, and then vehicle risk and some compliance."
use voxel videos in training and explore lms cornerstone integration,1,1,MEDIUM,False,False,customer,use voxel videos in training and explore lms cornerstone integration,"Unknown: We use a learning management system called Cornerstone. Can this be tied into Cornerstone so we can keep track of training whenever we assign training? Is that a possibility? | Unknown: New decks or presentations, they have like videos from Voxel, they use that for new employee training. | "
reduce safety incidents and claims using ai video analytics,1,1,MEDIUM,False,False,mixed,reduce safety incidents and claims using ai video analytics,"Charlie Kingsley: Here's what we have seen in terms of customers reducing claims. | Charlie Kingsley: And if we can reduce even a small number of claims on average, that can support the value case for a broader deployment model. | Charlie Kingsley: Action, turning it into meaningful action, and real"
identity resolution for incident investigations facial recognition request,1,1,MEDIUM,False,False,customer,identity resolution for incident investigations facial recognition request,"Bellamy Warren: Is your software capable of, I guess, doing AI facial recognition? | Bellamy Warren: I'm finding the infraction perfectly. I'm just not finding the person perfectly. | Bellamy Warren: Like, who's the guy with the white hat or the blue hat? And I'm just there for half hour trying to f"
no pedestrian zone and pit to person proximity around barrier pole outfeed battery area,1,1,MEDIUM,False,False,mixed,no pedestrian zone and pit to person proximity around barrier pole outfeed battery area,"Jordan Briar: What I was talking about, Casey, was trying to put a camera by either door 28C, the outfeed pallets, and or the right in front of the battery changers for the poll and stuff. | Jordan Briar: We an uptick of people going into a certain area and hitting a kind of a barrier pole. | Jordan"
eliminate 517 warehouse blind spot to capture ppe violations,1,1,MEDIUM,False,False,customer,eliminate 517 warehouse blind spot to capture ppe violations,"Morgan Marlowe: I found a blind spot in the 517 warehouse, but I didn't know how to let you know where it is and if we have cameras there. | Morgan Marlowe: this lady kept walking past me with no vest on, and I'm like, wait a minute, I'm not getting any indication. | Morgan Marlowe: And that whole a"
pit to pedestrian proximity and walkway enforcement,1,1,MEDIUM,False,False,mixed,pit to pedestrian proximity and walkway enforcement,"Gray Merritt: Do you have any videos that sort of help, you know, to see when people are close or head to a pit? | Drew Emery: boom, this guy is within three feet of a moving forklift underneath that suspended object. He, once he gets too close, that red line is going to flash red and you're going t"
safety analytics dashboards and heatmaps for leading indicators,1,1,MEDIUM,False,False,mixed,safety analytics dashboards and heatmaps for leading indicators,"Hollis Sawyer: What we do at Voxel, we flip that on here, we turn safety and safety management into a proactive effort. | Ari Foster: I really liked some of the hot spots and some of the stuff you can go back and analyze when it when it happened, how it happened, | Avery Jensen: I really like that h"
deploy voxel safety computer vision at distribution centers,1,1,MEDIUM,False,False,customer,deploy voxel safety computer vision at distribution centers,"Jensen Ellison: Yeah, his guidance was to continue on with Voxel, like as we're going to go with you guys, you know, for the safety. | Jensen Ellison: But, no, I hope that we can move forward with safety. | Jensen Ellison: It exists. | Jensen Ellison: Let's just get it going. | Jensen Ellison: There"
restricted hazard working at heights zone intrusion alerts,1,1,MEDIUM,False,False,mixed,restricted hazard working at heights zone intrusion alerts,"Indigo Vaughn: can Voxel detect unauthorized personnel in a restricted hazards area? | Indigo Vaughn: But we can, we can use like notepad zone or working at heights so we can use that. | Wyatt Quincy: we have a certain work and hide areas that requires only the authorized personnel to do it or else "
forklift safety and vehicle movement in confined areas,1,1,MEDIUM,False,False,customer,forklift safety and vehicle movement in confined areas,"Drew Sullivan: So in the facilities, what we're calling severe incident factors type incidents, we're looking at moving vehicles. | Drew Sullivan: So it's forklifts. | Drew Sullivan: But the big ones are the forklifts moving around inside the buildings and outside when we're hauling some of the stuf"
alerts digests and assignment workflows,1,1,MEDIUM,False,False,customer,alerts digests and assignment workflows,"Jamie Valentine: Are you able to auto-trigger, like, based on our rules, like, follow-ups? | Jamie Valentine: we want to keep our leaders focused on the operation and making things safe and not sitting behind the computer all day. And so any ways that we would be able to trigger alerts, kind of conc"
unwrapped pallet shrink wrap tails kigtails detection in racks,1,1,MEDIUM,False,False,mixed,unwrapped pallet shrink wrap tails kigtails detection in racks,"Hayden Wilder: Just as an example, in our racks, the equipment operators that leave circumstances in those racks that are less than ideal, unwrapped pallets of rotors, things like that. | Hayden Wilder: Does this technology identify circumstance as well as behavior? | Rowan Weston: here's an area of"
ai risk monitoring deployment across sites,1,1,MEDIUM,False,False,customer,ai risk monitoring deployment across sites,"Ashton Beckett: And then there's this project, which is, you know, the AI risk monitoring. | Ashton Beckett: Because that's what we're kind of, we're looking for a partner, not just, you know, a cool new toy at one site that we can show off to leadership, right? | Ashton Beckett: If this expands bey"
after hours restricted area monitoring time based no ped zones,1,1,MEDIUM,False,False,mixed,after hours restricted area monitoring time based no ped zones,"Alex Carver: So, but maybe there's times super late at night, like, hey, no one in the back of the facility should be back there, right? | Riley Larkin: From like midnight to 6 a.m.. | Alex Carver: We can do things around like things like that. | Alex Carver: So you guys can be notified if, you know"
merchandising analytics dwell end cap engagement,1,1,MEDIUM,False,False,customer,merchandising analytics dwell end cap engagement,"Dakota Pierce: what areas of the store are being congregated the most. | Dakota Pierce: Where are our shoppers spending the most time when they're in a store location, right? | Noel Dalton: if I set this end cap that had all this merchandise, tracking the sales of that, tracking how many people are "
restricted area and egress asset obstruction monitoring,1,1,MEDIUM,False,False,customer,restricted area and egress asset obstruction monitoring,"Jamie Valentine: Rochelle, this would be like 10 policy violations in a matter of 5 seconds. | Jamie Valentine: There's definitely some things that we have a number of programs that this kind of almost is a solve for, right?"
daily safety incident digest and assignment workflow,1,1,MEDIUM,False,False,customer,daily safety incident digest and assignment workflow,"Blake Sinclair: So what I've started doing is going through every morning because I get an email that gives me like a breakdown, I go through it and I assign some. | Blake Sinclair: So like if I see it's an issue, then I assign it."
advance notification of platform ui changes,1,1,MEDIUM,False,False,mixed,advance notification of platform ui changes,"Taylor Carlisle: Like, it makes me a little uncomfortable that I keep finding out about things like after it happens, you know what I mean? | Taylor Carlisle: maybe, you know, you could let me know a little bit ahead of time. | Taylor Carlisle: let my boss know because like, you know what I mean? | "
ergonomics risk identification via heat maps and repetition analysis,1,1,MEDIUM,False,False,mixed,ergonomics risk identification via heat maps and repetition analysis,"Dakota Kendrick: whereas ergonomics, like it's the nature of the job, there might be some improper lifting happening, and it's hard to, it's hard to change that, especially in your industry, with your, with, with furniture and things of that nature, | Dakota Kendrick: It's still good with the tune, "
build business case and drive cultural retention benefits with voxel,1,1,MEDIUM,False,False,customer,build business case and drive cultural retention benefits with voxel,"Unknown: I'm just transparently asking just because, obviously, one part of it is helping you guys build out a business case, too. | Unknown: there's ROI in multiple aspects of it from an operational standpoint, from just a culture standpoint in general. | Unknown: I think there's definitely ways fo"
role based boards and dashboard customization for mods,1,1,MEDIUM,False,False,mixed,role based boards and dashboard customization for mods,"Alden Carver: I'm pretty sure, you know, if we request a certain type of dashboard, you guys could deliver it. | Riley Winslow: we do that through a functionality within the platform with multiple dashboards, but the one that I think the MODs are going to interface with most is going to be called wh"
training content efficiency using bookmarked clips,1,1,MEDIUM,False,False,customer,training content efficiency using bookmarked clips,Unknown: A lot of our customers will use this in their toolbox talks or even trainings. | Unknown: They'll bookmark specific clips that will allow them to just pull them up quickly and coach them through trainings.
aisle obstruction monitoring,1,1,MEDIUM,False,False,customer,aisle obstruction monitoring,Unknown: What's obstruction? | Unknown: That's like pallets and aisles.
truck going off dock detection,1,1,MEDIUM,False,False,mixed,truck going off dock detection,"Shawn Abbott: trucks going off docks. | Oakley Winslow: I said, for trucks going off the dock."
compliance monitoring blocked exits and extinguishers,1,1,MEDIUM,False,False,customer,compliance monitoring blocked exits and extinguishers,"Dakota Pierce: Blocked Exits, Blocked Fire Extinguishers, those kind of things are also a good potential for us to focus on as well. | Kai Bishop: Obstructed Emergency Exits, if Federal Safety Bureau walks in, that's a huge fine."
lower workers comp premiums by demonstrating improved risk,1,1,MEDIUM,False,False,customer,lower workers comp premiums by demonstrating improved risk,"Delaney Reagan: For you, Harper, or even the guys at Willis, would this help drive, this type of system help drive a lower premium in the future as well, integrating this technology? | Reese Truitt: Well, I think the hope is that, yeah, you know, your losses improve, and as you become a better risk,"
detect pit pedestrian proximity pit pit interactions ppe compliance and spills,1,1,MEDIUM,False,False,mixed,detect pit pedestrian proximity pit pit interactions ppe compliance and spills,"Kendall Keller: It looks like a lot of what we're capturing is person-to-pit, pit-to-pit, and PPE. | Kendall Keller: So, safety vests. | Hollis Bishop: So we'll do the, you know, just the, you know, person pit proximity, safety vest. | Hollis Bishop: Of course, pit to pit, spill."
business case support for internal stakeholders,1,1,MEDIUM,False,False,mixed,business case support for internal stakeholders,Taylor Nash: We can put together some internal analysis to support that conversation using your historical data. | Alex Carver: We usually turn that historical performance into something leadership can review without getting too deep into assumptions. | Kai Fletcher: They want to hear it from somebo
daily summary email delivery and notifications,1,1,MEDIUM,False,False,mixed,daily summary email delivery and notifications,"Nico Blaine: I stopped getting Voxel notifications on August 21st. | Nico Blaine: Usually, I get a daily report. | Nico Blaine: Support showing incidents and findings. | Alex Carver: Oh, and we'll follow up on the emails, the Daily Summer emails, Alex."
monitor progress and impact of pilots program changes,1,1,MEDIUM,False,False,customer,monitor progress and impact of pilots program changes,"Jamie Valentine: So, you had any clients that, you know, they have a distribution center, their teams are trying to roll out a... A new pilot, whether it's a procedure, program, PPE, et cetera, and they've used Voxel as a means to monitor the progress of that pilot as it's, you know, running."
executive all sites dashboard with custom date ranges for weekly leadership reporting,1,1,MEDIUM,False,False,customer,executive all sites dashboard with custom date ranges for weekly leadership reporting,"Kelsey Parker: be able to put in specific time frame and not just look at like the last about a week or the last about a month or the last month, but to be able to specifically look at, I want to see Wednesday to Saturday or something, you know, is specific. | Kelsey Parker: I want to look at a week"
weekly trend reporting and executive corporate views,1,1,MEDIUM,False,False,mixed,weekly trend reporting and executive corporate views,"Remy Turner: is there a way to look at it from a, you more corporate view to see what we're seeing? | Remy Turner: if it could be almost like segmented by week to say what happened this past week... to say, this is the things that I can review with our team... almost like a weekly dashboard of some "
coaching workshop and coaching using blurred videos and voxel insights,1,1,MEDIUM,False,False,mixed,coaching workshop and coaching using blurred videos and voxel insights,"Shawn Abbott: the data introduced in Coaching Workshop. I mean, this is this is the best practice that we've seen. | Operations Conference Room 2: once we look, because I don't think we looked at the new blurring, we're going to go back to them and say, is this blurred enough to be able to share wit"
open dock door duration monitoring and threshold tuning,1,1,MEDIUM,False,False,mixed,open dock door duration monitoring and threshold tuning,"Blake Sinclair: I have a question regarding the doors open. | Blake Sinclair: example, we are working on door number four, and it's now we are going continuously into that door because we have some freight which comes in and it takes maybe 15, tens of minutes or half an hour, but we still have to ke"
shrink reduction via service alerts in high risk aisles,1,1,MEDIUM,False,False,customer,shrink reduction via service alerts in high risk aisles,"Noel Dalton: I just simply would want to know when someone picks that up and walked away with it. | Noel Dalton: this item was removed from that particular shelf, and that's tied into the Voxel system, and then tied to an audio to the radios that lets the team member know that something was moved fr"
video footage retrieval,1,1,MEDIUM,False,False,customer,video footage retrieval,"Cassidy Keaton: I do do a little bit of footage retrieval, but for the most part, more so technical manager of the system."
validate detection accuracy precision and false positive negative thresholds in dense production cells,1,1,MEDIUM,False,False,customer,validate detection accuracy precision and false positive negative thresholds in dense production cells,"Palmer York: the identification of an issue and how accurate that identification is. | Palmer York: So if we get, you know, hundreds of instances, are 100 of them false, how are they validated, some of that kind of stuff. | Palmer York: put it in an area that's fairly condensed. | Palmer York: are t"
automate camera monitoring to save staff time,1,1,MEDIUM,False,False,mixed,automate camera monitoring to save staff time,"Kieran Ashford: So instead of having, we don't have a, I'll call it dedicated person that looks at camera footage, but we have a lot of people that just stare at it and waste a bunch of time. | Kieran Ashford: So I was proactively trying to, I guess, save some of that time. | Charlie Kingsley: Like,"
reduce safety losses incidents,1,1,MEDIUM,False,False,customer,reduce safety losses incidents,"Reese Truitt: Well, I think the hope is that, yeah, you know, your losses improve, and as you become a better risk, yeah, your premiums will be lowered. | Reese Truitt: overall, if your losses are steadily getting better, then, you know, your premium will be favorable. | Reese Truitt: it certainly s"
camera based alternative complement to forklift telematics,1,1,MEDIUM,False,False,mixed,camera based alternative complement to forklift telematics,"Skyler Gardner: So we're actively in the process of a big transition for our forklifts company-wide, and we're doing a big deal with Toyota to replace all of our lifts. | Skyler Gardner: I learned that supposedly there is a telematics aspect to that deal. | Drew Emery: Like, we're not in competition"
monitoring across dispersed facilities,1,1,MEDIUM,False,False,mixed,monitoring across dispersed facilities,"Lane Donovan: we don't have a closed site. We are working in the desert, you know, it's already, like, under the, like, for 100 kilometers and more. | Lennon Sawyer: The construction moves forward, so the cameras will have to be on a mobile unit with a portable setup in place. | Reese Dalton: whethe"
monitor and prioritize pit pedestrian proximity risks by area and severity,1,1,MEDIUM,False,False,mixed,monitor and prioritize pit pedestrian proximity risks by area and severity,"Operations Conference Room 1: Forklift-to-Person Failure. | Operations Conference Room 1: What is most important in rivet press? What is most important in rivet press? Is it the forklift getting close to the person, or is it over bending, improper bend, or is it over reaching? | Riley Winslow: And y"
working at heights fall protection monitoring cherry pickers,1,1,MEDIUM,False,False,mixed,working at heights fall protection monitoring cherry pickers,"Kendall Keller: Working at Heights, I know that is something that we did recently enable for you guys. | Jordan Briar: From what I see, no, because a lot of them are capturing the people on the cherry picker, and they're, what do you call it? | Jordan Briar: They're attached to the truck. | Jordan B"
collision impact detection on yellow posts,1,1,MEDIUM,False,False,customer,collision impact detection on yellow posts,Ryan Archer: One of the things that we do find is the folk of ours do hit those yellow posts quite a bit.
pit and pedestrian proximity near miss detection,1,1,MEDIUM,False,False,mixed,pit and pedestrian proximity near miss detection,"Emerson Keaton: I was very impressed with the near misses that we we we had. That was something like, you know, the machines were which were going too close and if the people were too close to the machines. | Hollis Sawyer: Vehicle safety, we'll drill into that quite a bit. But that is, Ellis, to yo"
cost sensitive vendor evaluation incl falcon peak vision,1,1,MEDIUM,False,False,customer,cost sensitive vendor evaluation incl falcon peak vision,"Stevie Yates: And to be completely honest with you, I'm evaluating other companies as well, just to make sure we're on the right track. | Stevie Yates: And I guess my biggest concern right now with Voxel is the cost. | Stevie Yates: While I like what you have, y'all are, you're a lot higher than som"
zone and shift based alert routing in remote areas,1,1,MEDIUM,False,False,mixed,zone and shift based alert routing in remote areas,"Morgan Hayes: In Zone A, we can make sure that we're sending alerts to just those leaders in that area at that time. | Brennan Walker: I think the best thing would be some tool that gives the safety officer a message with the relevant context. | Brennan Walker: But what came to mind is what happens "
reduce chipotle dry dock congestion by splitting shifts,1,1,MEDIUM,False,False,customer,reduce chipotle dry dock congestion by splitting shifts,"Hollis Bishop: we're working on some, alleviate some of the congestions that we have in Chipotle dry dock. | Hollis Bishop: that is something that I'm pretty much running the numbers on, splitting the shifts. | Hollis Bishop: So when that happens, it will be a lot less pallets on that stage."
no pedestrian zones and shortcut hazard control,1,1,MEDIUM,False,False,mixed,no pedestrian zones and shortcut hazard control,"Adrian Morrow: And then, of course, the shortcuts, where the guys want to jump the table instead of taking the long way around, making it a hazard | Taylor Nash: So what we can do is basically set a no pedestrian zone. | Taylor Nash: there's a zone that you don't want them to be, you can spark an in"
detect unsafe pallet behaviors to reduce ankle injuries,1,1,MEDIUM,False,False,mixed,detect unsafe pallet behaviors to reduce ankle injuries,"Jamie Flynn: Well, right now, there was a big uptick, like I said, in the ankles to the point where they were almost going to start requiring boots. | Jamie Flynn: So most of our stuff is shoulders, ankles, you know, lots of rolled ankles when you're walking on pallets and stuff like that. | Jamie F"
facility security monitoring with cctv,1,1,MEDIUM,False,False,customer,facility security monitoring with cctv,"Arden Rutherford: New facility, security cameras are going in, and they're going to be used for, like, security."
caught in hazards at presses and conveyors,1,1,MEDIUM,False,False,customer,caught in hazards at presses and conveyors,"Drew Sullivan: And typically in fairly confined areas with the manufacturing plants, we're looking at a lot of presses and conveyors and things that we're concerned with getting caught between and getting hands in or body parts in. | Drew Sullivan: We have an additional going over the conveyors. | D"
stop sign stop line compliance zones,1,1,MEDIUM,False,False,mixed,stop sign stop line compliance zones,"Peyton Rowe: Okay, so now what I need to do is capture where we need to have the stops. | Shawn Abbott: So if you want to take a look at the camera views and just let me know which ones we need stops on, we can go ahead and get those added as well. | Peyton Rowe: So on camera 13, it looks like you h"
detect prohibited e bikes e scooters indoors to mitigate lithium battery fire risk,1,1,MEDIUM,False,False,mixed,detect prohibited e bikes e scooters indoors to mitigate lithium battery fire risk,"Sidney Sinclair: One of the things that we just put in the place that I'm sorry is a policy against e-bikes and e-scooters in the building. So that's something the platform can pick up like, hey, there's an e-bike in the back room or this person storing an e-bike in the store. | Indigo Vaughn: Well,"
spill detection and liquid hazard monitoring processing oil room note outdoor limitations,1,1,MEDIUM,False,False,mixed,spill detection and liquid hazard monitoring processing oil room note outdoor limitations,Indigo Vaughn: Do we want to track spills as well? Is that something we want to keep an eye on them for? | Arielle Sterling: Definitely in processing. | Arielle Sterling: the oil room would be lifting spills for sure. | Arielle Sterling: right here for the team is where all the bulk oil unloading oc
shop displays and gamified safety goals,1,1,MEDIUM,False,False,mixed,shop displays and gamified safety goals,"Marin Madden: I'd eventually like to start installing some monitors around the shop where we're sharing that information in real time, too. | Marin Madden: we've talked in the past about gamifying things and things like that. | Rowan Rowe: Here's a goal we want to set. | Rowan Rowe: And if we meet t"
pit to pit proximity and one machine per lane policy,1,1,MEDIUM,False,False,mixed,pit to pit proximity and one machine per lane policy,"Dakota Kendrick: pit to pit. Seems like it's actually going in the right direction, that's good, | Dakota Kendrick: I know that one of the main concerns was also two pits in the same aisle, | Dakota Kendrick: so it was a no-stop, and then there was a pit-to-pit proximity, but this is what they didn'"
contract renewal language clarification,1,1,MEDIUM,False,False,mixed,contract renewal language clarification,Teagan Monroe: I want to confirm what our obligations are under the current contract timing. | Shawn Abbott: My understanding is that written notice after the upcoming renewal point could affect a later period. | Shawn Abbott: So written notice could still be submitted shortly after that renewal tim
change impact markers after lowering rack at headliners,1,1,MEDIUM,False,False,mixed,change impact markers after lowering rack at headliners,"Briar Langley: We lowered a rack at Headliners on the 21st of March. | Briar Langley: And so we've already seen a pretty big reduction there, but I was wondering if we could get a marker thrown in. | Briar Langley: Maybe all of them, just because some of that may, the change in the racks may actuall"
spill detection and timely cleanup alerts,1,1,MEDIUM,False,False,mixed,spill detection and timely cleanup alerts,"Drew Emery: maybe you guys are painting something within the facility and paint spills. Well, I want to be alerted if the paint is sitting on the ground for more than a few minutes and no one's cleaning it up. We're going to be able to alert you in real time that that happened. | Arden Rutherford: s"
machine pinch point and safety device circumvention detection,1,1,MEDIUM,False,False,customer,machine pinch point and safety device circumvention detection,"Adrian Morrow: we're looking for pinch points, people putting their hands in places or circumventing safety items"
standardize monitored incident types across sites,1,1,MEDIUM,False,False,customer,standardize monitored incident types across sites,"Remy Turner: we really haven't got together to, I guess, narrow the scope on what are the core risks that we want to focus on. | Remy Turner: get on the same page so that we understand what each site is at least collecting. Or, I should say, observing and then collecting information on those risks t"
lockout tagout and machine guarding hazard zone monitoring no pedestrian zones,1,1,MEDIUM,False,False,mixed,lockout tagout and machine guarding hazard zone monitoring no pedestrian zones,"Dylan Tatum: Yeah, but it's a matter of lockout, tagout procedures, that's right, that's right. | Dylan Tatum: Violated machine guarding, went behind a guard, with part of the machine still running. | Jules Blaine: Those are areas of opportunity for our company to develop in terms of lockout, tagout"
pedestrian entry monitoring in restricted area,1,1,MEDIUM,False,False,customer,pedestrian entry monitoring in restricted area,"Perry Everett: Inside these barriers here. | Perry Everett: As an area where, like, there's no pedestrian access there, so that would be the only thing you monitor, plus, I mean, maybe that fence that, that's Australian Border Force over that fence, so it's very unlikely somebody's going to come ove"
conversational ai overlay for customs platform,1,1,MEDIUM,False,False,customer,conversational ai overlay for customs platform,Logan Thayer: And then we're also looking at developing like almost like a conversational AI overlay. | Logan Thayer: to our existing platform that they have for custom services.
show overdue upcoming actions and allow due date edits,1,1,MEDIUM,False,False,customer,show overdue upcoming actions and allow due date edits,Operations Conference Room 1: if i have something that is past due i like to one sometimes uh the project takes longer than what it was assigned to be so i like to edit that date or at least be able to edit that day and send it back to the person that assigned it to me and say hey do you agree with 
monitor freezer roll up door open duration to prevent black ice,1,1,MEDIUM,False,False,customer,monitor freezer roll up door open duration to prevent black ice,"Hollis Bishop: So we currently have a, you know, a certain issue with one of our roll-up doors. | Hollis Bishop: So, just the blower with it in the freezer is basically, it's causing a lot of black ice, right? | Hollis Bishop: So they can, you know, kind of take a look at the open door duration on t"
unsafe forklift load handling split forking bulldozing high loads,1,1,MEDIUM,False,False,mixed,unsafe forklift load handling split forking bulldozing high loads,"Sloane Collins: the PIVs and the amount of containers that they're moving at any given time, whether they're split forking or, you know, excessively high may be another angle to look at. | Parker Donovan: you're going to see bulldozing, and the reason that's why I want to use the dock, and maybe you"
no pedestrian zone and after hours presence monitoring for lp security,1,1,MEDIUM,False,False,customer,no pedestrian zone and after hours presence monitoring for lp security,"Unknown: No pedestrian zone. This could be used for safety or security. | Unknown: From a safety perspective here, you're going to see this area right here where the rollers are, and they don't want anyone in the roller area. | Unknown: Think about your loading docks, your back of buildings, some of"
skeleton overlay on action videos to aid review,1,1,MEDIUM,False,False,customer,skeleton overlay on action videos to aid review,"Operations Conference Room 1: I actually want to thank you for finally adding the skeleton on the action videos or the assign action videos. | Operations Conference Room 1: So when I get assignments and I don't see the skeleton, I get lost."
prioritize ergonomics hotspots and mitigate with engineering controls,1,1,MEDIUM,False,False,customer,prioritize ergonomics hotspots and mitigate with engineering controls,"Operations Conference Room 1: And this, the purpose of this is that I got so many projects going on with the improper bend that I'm trying to resolve them. | Operations Conference Room 1: If I had this screen a couple of hours ago, it's literally a couple of hours ago, I went with my fab team where "
product condition and dwell time detection,1,1,MEDIUM,False,False,mixed,product condition and dwell time detection,"Riley Winslow: You know, when it comes to tracking product damage or exploring camera-based monitoring in this area, one example is detecting when a product is out of spec or left where it should not be for too long. | Riley Winslow: Yeah, and claim-focused, right? | Max Conrad: If you're finding so"
trash returns processing late status alert,1,1,MEDIUM,False,False,customer,trash returns processing late status alert,"Eden Wilder: for our trash or returns processing, we want to send an alert or some sort of a summary, or have it show up on a dashboard if something still shows at 12 a.m.."
obstruction detection in walk paths and drive lanes,1,1,MEDIUM,False,False,customer,obstruction detection in walk paths and drive lanes,"Bellamy Warren: Again, as far as reviewing for me, I feel more that I'm going to the no stop at end of the stop signs, the obstructions, and also the no pedestrian zone."
open cooler freezer door monitoring for energy product protection,1,1,MEDIUM,False,False,customer,open cooler freezer door monitoring for energy product protection,"Unknown: And lastly, can do things around, like, open doors. We've launched this in Brian's facility at AmeriCold in Modesto way back when to help with, like, making sure freezer doors weren't being left open. | Unknown: say this was a walk-in cooler and the doors were left open, that would be somet"
